id,created_on,operation,property_type,neighbourhood,lat,lon,price,surface_total_in_m2,surface_covered_in_m2,floor,rooms,expenses
1649a3c35359d681abae4a63d9a8545054d2096b,2017-09-22,sell,house,Palermo Viejo,-34.5889531469,-58.4298817776,2000000,312,,,,
1ab035ccbe77702987c3f09850d12c634e612aa2,2017-09-01,sell,PH,Parque Chacabuco,-34.6358658,-58.431048,131500,80,50,,3,
90fc7c61b6fbc6ef99368a21cd9ac0d30d54c697,2017-09-01,sell,apartment,Barracas,-34.6449239,-58.3719186,140000,125,85,,,
c195e8f3a596ab49b95d699c07e1a04be503ba68,2017-09-01,sell,apartment,Recoleta,-34.5965111,-58.3857467,109000,45,45,2,2,3350
f891875ff44e6f99e30e101b3901d1e7510ef41b,2017-09-01,sell,apartment,Parque Patricios,-34.6391732,-58.4170693,94000,38,38,,,
8bffade33a2412d614e82cc3d828175f63443549,2017-09-01,sell,apartment,Flores,-34.6394966,-58.5317143,160000,76,76,13,3,6700
e852a17ee51358f22e27c82520dbcb52916c1006,2017-09-01,sell,apartment,Caballito,-34.6280212,-58.460598,160000,76,76,13,3,6700
0c6332347229002521738a81e9de5df01d2031ac,2017-09-01,sell,apartment,Villa Crespo,-34.5925396,-58.4342447,240435,101,75,,3,
e8c2904f4d07b248e9ce17f7784e6b3535f6e3d4,2017-09-01,sell,apartment,Villa Devoto,-34.6053295,-58.5107083,370000,225,200,,5,8000
5aa935a7cabcb29014f7773ebd20cfc19abd2b56,2017-09-01,sell,house,Villa del Parque,-34.6018699518,-58.4876864595,,714,487,,,
afd3d5bed4a3efd581ff7101fb1dff73dc1a4290,2017-09-01,sell,apartment,Barrio Norte,-34.5995503,-58.3888769,240000,95,,14,3,
671eed56a5bed7b49d4c7f62e925477653796e1f,2017-09-01,sell,apartment,Boedo,-34.6154109,-58.4123977,83000,50,40,,2,1900
4af8889b39359fb23d8d5595cf6a6aeda793d769,2017-09-01,sell,apartment,Barracas,-34.6390569,-58.3751937,110000,63,48,,2,
235b5bc6dd1403a79e2e623fe9a5b35b4ac4f0ba,2017-09-01,sell,apartment,Parque Chacabuco,-34.63335419,-58.44533157,170000,84,84,,3,
080f0267dcab676a853810d24c9e3b024b6ef76a,2017-09-01,sell,house,Saavedra,-34.54477692,-58.48508835,115000,40,30,,1,
13769d6ccaea32cb80974cd932c08f225ab6702b,2017-09-01,sell,house,Boedo,-34.63035965,-58.41775131,89000,47,35,,1,
8c9013577155520d18a31b508fc9a7e506a5f531,2017-09-01,sell,house,Paternal,-34.59841919,-58.46293259,167000,130,130,,2,
5769d7fd3ddcf81c1cfe84abdae93438ef84dc4a,2017-09-01,sell,apartment,Caballito,-34.62363815,-58.44841385,230000,107,104,,3,
2774b7baaa3a1c2d33df9bbe8715c7f21ffd2fb5,2017-09-01,sell,apartment,Caballito,-34.61494827,-58.43020248,139000,66,66,,2,
68c26129e87960a6d274fd1991b3c29e8b1163f8,2017-09-01,sell,apartment,Saavedra,-34.55467224,-58.49362564,299000,103,85,,3,
535d5526664451ff0f4b215bff07bcf589be98ce,2017-09-01,sell,apartment,Abasto,,,,,,,1,
d560caff0634dc22b5e7d4971dc4771e00b4cfb7,2017-09-01,sell,store,Barrio Norte,-34.5920712,-58.3879359,230000,66,66,,,4500
53c19b5abdbd51d6bbb1401af8b6eeec78cffce4,2017-09-01,sell,house,Palermo Chico,-34.5782697,-58.3993206,1750000,300,,,5,
b811614ffc25a98920f1247cc2dbb898f8535a72,2017-09-01,sell,apartment,Puerto Madero,-34.6156518,-58.3629458,570000,115,,,3,
663beef7ea35c38c862c398ae2b1345ecf947f10,2017-09-01,sell,apartment,Puerto Madero,-34.6154877,-58.3621363,615000,130,,,3,
61df18983cd48ea8f9752b186e936133a2cfa5b6,2017-09-01,sell,apartment,Recoleta,-34.5941583202,-58.4029778663,259000,80,77,,3,3000
